tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
151,NACT July 2022,B,20220625.0,20220806,1.6.84,https://liquipedia.net/mobilelegends/NACT/2022/July,20231230,151_NACT July 2022.csv
152,H3RO Esports 3.0,B,20220729.0,20220731,1.6.94B,https://liquipedia.net/mobilelegends/H3RO_Esports/3.0,20231230,152_H3RO Esports 3.0.csv
153,Top Clans 2022 Summer Invitational,B,20220727.0,20220731,,https://liquipedia.net/mobilelegends/Top_Clans/2022/Summer_Invitational,20231230,153_Top Clans 2022 Summer Invitational.csv
154,Mobile Legends Upoint Esports Invitational Season 2,B,20220606.0,20220611,1.6.84,https://liquipedia.net/mobilelegends/Mobile_Legends_Upoint_Esports_Invitational/Season_2,20231230,154_Mobile Legends Upoint Esports Invitational Season 2.csv
155,Unipin Ladies Series Philippines Season 1,B,20220516.0,20220610,1.6.72,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/PH/Season_1,20231230,155_Unipin Ladies Series Philippines Season 1.csv
156,MPL Brazil Season 2,B,20220311.0,20220501,1.6.62 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_2,20231230,156_MPL Brazil Season 2.csv
157,MPL Cambodia Spring 2022,B,20220226.0,20220424,1.6.58 – 1.6.72,https://liquipedia.net/mobilelegends/MPL/Cambodia/2022/Spring,20231230,157_MPL Cambodia Spring 2022.csv
158,Peru National Cup Season 1,B,20220313.0,20220424,1.6.62 – 1.6.72,https://liquipedia.net/mobilelegends/Peru_National_Cup/Season_1,20231230,158_Peru National Cup Season 1.csv
159,Bolívia National Cup Season 1,B,20220312.0,20220423,1.6.62 – 1.6.72,https://liquipedia.net/mobilelegends/Bolivia_National_Cup/Season_1,20231230,159_Bolívia National Cup Season 1.csv
160,MDL Indonesia Season 5,B,20220214.0,20220417,1.6.52,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_5,20231230,160_MDL Indonesia Season 5.csv
161,Real Cup,B,20220312.0,20220404,1.6.52,https://liquipedia.net/mobilelegends/Real_Cup,20231230,161_Real Cup.csv
162,Unipin Ladies Series Season 2,B,20220204.0,20220327,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/ID/Season_2,20231230,162_Unipin Ladies Series Season 2.csv
163,Razer Invitational - SEA 2021,B,20220214.0,20220227,,https://liquipedia.net/mobilelegends/Razer_Invitational/SEA/2021,20231230,163_Razer Invitational - SEA 2021.csv
164,T.Y Media E Champion Season 1,B,20220612.0,20220210,,https://liquipedia.net/mobilelegends/T.Y_Media_E_Champion/Season_1,20231230,164_T.Y Media E Champion Season 1.csv
165,DGWIB Championship 2022,B,20220120.0,20220130,,https://liquipedia.net/mobilelegends/Dunia_Games_WIB/2022,20231230,165_DGWIB Championship 2022.csv
166,MLBB Women's Invitational 2022,B,20220127.0,20220130,,https://liquipedia.net/mobilelegends/MLBB_Women%27s_Invitational/2022,20231230,166_MLBB Women's Invitational 2022.csv
167,DGWIB Championship 2022 - Ladies,B,20220125.0,20220130,,https://liquipedia.net/mobilelegends/Dunia_Games_WIB/2022/Ladies,20231230,167_DGWIB Championship 2022 - Ladies.csv
168,SIBOL 2022 National Team Selection for 31st Sea Games,B,20220121.0,20220130,,https://liquipedia.net/mobilelegends/SIBOL_2022_National_Team_Selection/31st_Sea_Games,20231230,168_SIBOL 2022 National Team Selection for 31st Sea Games.csv
169,Malaysia Esports Championship 2021,B,20220107.0,20220109,,https://liquipedia.net/mobilelegends/Malaysia_Esports_Championship/2021,20231230,169_Malaysia Esports Championship 2021.csv
170,Woman Star League Season 4,B,20211220.0,20220123,,https://liquipedia.net/mobilelegends/Woman_Star_League/Season_4,20231230,170_Woman Star League Season 4.csv
171,Piala Presiden Esports 2021,B,20210909.0,20211219,1.6.34,https://liquipedia.net/mobilelegends/Piala_Presiden/2021,20231230,171_Piala Presiden Esports 2021.csv
172,Light of Dawn Pro-Invitational Tournament,B,20211115.0,20211209,1.6.26 – 1.6.34,https://liquipedia.net/mobilelegends/Light_of_Dawn_Pro-Invitational_Tournament,20231230,172_Light of Dawn Pro-Invitational Tournament.csv
173,Top Clans 2021 Winter Invitational,B,20211201.0,20211205,1.6.34,https://liquipedia.net/mobilelegends/Top_Clans/2021/Winter_Invitational,20231230,173_Top Clans 2021 Winter Invitational.csv
174,Mobile Legends Upoint Esports Invitational Season 1,B,20211125.0,20211204,,https://liquipedia.net/mobilelegends/Mobile_Legends_Upoint_Esports_Invitational/Season_1,20231230,174_Mobile Legends Upoint Esports Invitational Season 1.csv
175,Unipin Ladies Series SEA Invitational,B,20211115.0,20211120,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_invitational,20231230,175_Unipin Ladies Series SEA Invitational.csv
176,PlayMaya Tournament,B,20211002.0,20211112,1.6.18 – 1.6.26,https://liquipedia.net/mobilelegends/PlayMaya_Tournament,20231230,176_PlayMaya Tournament.csv
177,Liga Latam Season 1,B,20211103.0,20211107,1.6.26,https://liquipedia.net/mobilelegends/Liga_Latam/Season_1,20231230,177_Liga Latam Season 1.csv
178,Wonderful Indonesia Srikandi Championship,B,20211004.0,20211031,,https://liquipedia.net/mobilelegends/Wonderful_Indonesia_Srikandi_Championship,20231230,178_Wonderful Indonesia Srikandi Championship.csv
179,MDL Indonesia Season 4,B,20210809.0,20211017,1.5.96 – 1.6.18,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_4,20231230,179_MDL Indonesia Season 4.csv
180,MPL Brazil Season 1,B,20210814.0,20211016,1.5.96 – 1.6.18,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_1,20231230,180_MPL Brazil Season 1.csv
181,MPL Cambodia Season 1,B,20210828.0,20211003,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_1,20231230,181_MPL Cambodia Season 1.csv
182,LATAM Championship 2021,B,20210914.0,20211002,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/LATAM_Championship/2021,20231230,182_LATAM Championship 2021.csv
183,Mythic League Season 1: Pro,B,20210522.0,20210926,1.5.78 – 1.6.18,https://liquipedia.net/mobilelegends/Mythic_League/Season_1/Pro,20231230,183_Mythic League Season 1_ Pro.csv
184,Türkiye Şampiyonası 2021,B,20210717.0,20210925,1.5.88 – 1.6.18,https://liquipedia.net/mobilelegends/Turkiye_Sampiyonasi/2021,20231230,184_Türkiye Şampiyonası 2021.csv
185,M3 Arabia Major,B,20210816.0,20210909,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/M3_Arabia_Major,20231230,185_M3 Arabia Major.csv
186,Top Clans 2021 Summer Invitational,B,20210828.0,20210905,1.6.10,https://liquipedia.net/mobilelegends/Top_Clans/2021/Summer_Invitational,20231230,186_Top Clans 2021 Summer Invitational.csv
187,Woman Star League Season 3,B,20210604.0,20210808,1.6.26 – 1.6.34,https://liquipedia.net/mobilelegends/Woman_Star_League/Season_3,20231230,187_Woman Star League Season 3.csv
188,Nimo TV Mobile Legends Arena Season 3,B,20210721.0,20210801,1.6.34,https://liquipedia.net/mobilelegends/Nimo_TV_Mobile_Legends_Arena/Season_3,20231230,188_Nimo TV Mobile Legends Arena Season 3.csv
189,H3RO Esports 2.0,B,20210717.0,20210718,,https://liquipedia.net/mobilelegends/H3RO_Esports/2.0,20231230,189_H3RO Esports 2.0.csv
190,Unipin Ladies Series Season 1,B,20210527.0,20210627,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/ID/Season_1,20231230,190_Unipin Ladies Series Season 1.csv
191,515 Blitz Brazil,B,20210422.0,20210515,1.5.62B – 1.5.70,https://liquipedia.net/mobilelegends/515_Blitz_Brazil,20231230,191_515 Blitz Brazil.csv
192,MDL Indonesia Season 3,B,20210222.0,20210425,1.5.52 – 1.5.70,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_3,20231230,192_MDL Indonesia Season 3.csv
193,North America Challenger Cup,B,20210413.0,20210418,1.5.70,https://liquipedia.net/mobilelegends/North_America_Challenger_Cup,20231230,193_North America Challenger Cup.csv
194,LATAM Invitational 2021,B,20210409.0,20210411,,https://liquipedia.net/mobilelegends/LATAM_Invitational/2021,20231230,194_LATAM Invitational 2021.csv
195,Woman Star League Season 2,B,20210122.0,20210221,,https://liquipedia.net/mobilelegends/Woman_Star_League/Season_2,20231230,195_Woman Star League Season 2.csv
196,Metfone The First Legends,B,,[e][h]Metfone The First Legends,1.5.46,https://liquipedia.net/mobilelegends/Metfone_The_First_Legends,20231230,196_Metfone The First Legends.csv
197,Brazilian Regular League Season 4,B,20201107.0,20210307,,https://liquipedia.net/mobilelegends/Brazilian_Regular_League/Season_4,20231230,197_Brazilian Regular League Season 4.csv
198,The Nationals Season 2,B,20201114.0,20201220,,https://liquipedia.net/mobilelegends/The_Nationals/Season_2,20231230,198_The Nationals Season 2.csv
199,Nimo TV Mobile Legends Arena Season 2,B,20201208.0,20201214,1.6.34,https://liquipedia.net/mobilelegends/Nimo_TV_Mobile_Legends_Arena/Season_2,20231230,199_Nimo TV Mobile Legends Arena Season 2.csv
200,Brazil National Championship,B,20201113.0,20201213,1.5.24 – 1.5.32,https://liquipedia.net/mobilelegends/Brazil_National_Championship/2020,20231230,200_Brazil National Championship.csv
201,Woman Star League Invitational,B,20200913.0,20201122,,https://liquipedia.net/mobilelegends/Woman_Star_League/Invitational,20231230,201_Woman Star League Invitational.csv
202,Smart Kingdom of Legends: Pro,B,20201110.0,20201115,1.5.24,https://liquipedia.net/mobilelegends/Smart_Kingdom_of_Legends/Pro,20231230,202_Smart Kingdom of Legends_ Pro.csv
203,Japan Grand Prix,B,,,1.5.24,https://liquipedia.net/mobilelegends/Japan_Grand_Prix,20231230,203_Japan Grand Prix.csv
204,MDL Indonesia Season 2,B,20200810.0,20201011,1.4.94 – 1.5.16,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_2,20231230,204_MDL Indonesia Season 2.csv
205,Mytel International Championship Season 2,B,20200720.0,20200730,,https://liquipedia.net/mobilelegends/Mytel_International_Championship/Season_2,20231230,205_Mytel International Championship Season 2.csv
206,Brazilian Regular League Season 3,B,20200410.0,20200727,,https://liquipedia.net/mobilelegends/Brazilian_Regular_League/Season_3,20231230,206_Brazilian Regular League Season 3.csv
207,Metfone All-Stars Arena,B,20200718.0,20200725,1.4.94,https://liquipedia.net/mobilelegends/Metfone_All-Stars_Arena,20231230,207_Metfone All-Stars Arena.csv
208,Razer Invitational - SEA 2020,B,20200705.0,20200712,1.4.86,https://liquipedia.net/mobilelegends/Razer_Invitational/SEA/2020,20231230,208_Razer Invitational - SEA 2020.csv
209,Mytel International Championship Season 1,B,20200608.0,20200614,,https://liquipedia.net/mobilelegends/Mytel_International_Championship/Season_1,20231230,209_Mytel International Championship Season 1.csv
210,MDL Indonesia Season 1,B,20200217.0,20200419,1.4.44 – 1.4.60,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_1,20231230,210_MDL Indonesia Season 1.csv
211,Campus Championship Indonesia 2020,B,20200404.0,20200405,1.4.70,https://liquipedia.net/mobilelegends/Campus_Championship/2020,20231230,211_Campus Championship Indonesia 2020.csv
212,The Nationals Season 1 Finale,B,20200112.0,20200118,1.4.44,https://liquipedia.net/mobilelegends/The_Nationals/Season_1,20231230,212_The Nationals Season 1 Finale.csv
213,The Nationals Season 1 Conference 2,B,20191103.0,20191215,,https://liquipedia.net/mobilelegends/The_Nationals/Season_1/Conference_2,20231230,213_The Nationals Season 1 Conference 2.csv
214,Indihome Esports League 2019,B,,,,https://liquipedia.net/mobilelegends/Indihome_Esports_League/2019,20231230,214_Indihome Esports League 2019.csv
215,Brazilian Regular League Season 2,B,20190531.0,20191001,,https://liquipedia.net/mobilelegends/Brazilian_Regular_League/Season_2,20231230,215_Brazilian Regular League Season 2.csv
216,360mobi CHAMPIONSHIP SERIES - Season 3,B,20190808.0,20190818,,https://liquipedia.net/mobilelegends/360mobi_Championship_Series/Season_3,20231230,216_360mobi CHAMPIONSHIP SERIES - Season 3.csv
217,The Nationals Season 1 Conference 1,B,20190626.0,20190728,,https://liquipedia.net/mobilelegends/The_Nationals/Season_1/Conference_1,20231230,217_The Nationals Season 1 Conference 1.csv
218,Indonesia Esports National Championship,B,20190619.0,20190714,,https://liquipedia.net/mobilelegends/Indonesia_Esports_National_Championship,20231230,218_Indonesia Esports National Championship.csv
219,MPL Myanmar Season 2,B,20190329.0,20190526,1.3.52 – 1.3.76,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_2,20231230,219_MPL Myanmar Season 2.csv
220,SEA Clash of Champions,B,20190518.0,20190519,,https://liquipedia.net/mobilelegends/SEA_Clash_of_Champions,20231230,220_SEA Clash of Champions.csv
221,360mobi CHAMPIONSHIP SERIES - Season 2,B,20190420.0,20190512,,https://liquipedia.net/mobilelegends/360mobi_Championship_Series/Season_2,20231230,221_360mobi CHAMPIONSHIP SERIES - Season 2.csv
222,Mobile Star League Season 3,B,20190218.0,20190403,1.3.52,https://liquipedia.net/mobilelegends/Mobile_Star_League/Season_3,20231230,222_Mobile Star League Season 3.csv
223,Piala Presiden Esports 2019,B,20190330.0,20190331,,https://liquipedia.net/mobilelegends/Piala_Presiden/2019,20231230,223_Piala Presiden Esports 2019.csv
224,Brazilian Regular League Season 1,B,20190126.0,20190317,,https://liquipedia.net/mobilelegends/Brazilian_Regular_League/Season_1,20231230,224_Brazilian Regular League Season 1.csv
225,360mobi CHAMPIONSHIP SERIES - Season 1,B,20190105.0,20190120,,https://liquipedia.net/mobilelegends/360mobi_Championship_Series/Season_1,20231230,225_360mobi CHAMPIONSHIP SERIES - Season 1.csv
226,Mobile Star League Season 2,B,20181126.0,20190106,1.3.10 – 1.3.12,https://liquipedia.net/mobilelegends/Mobile_Star_League/Season_2,20231230,226_Mobile Star League Season 2.csv
227,MPL Myanmar Season 1,B,20181026.0,20181216,1.3.12,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_1,20231230,227_MPL Myanmar Season 1.csv
228,Mobile Star League Season 1,B,20180710.0,20180902,1.2.92 – 1.3.10,https://liquipedia.net/mobilelegends/Mobile_Star_League/Season_1,20231230,228_Mobile Star League Season 1.csv
229,MLBB Southeast Asia Cup 2017 - Singapore Qualifier,B,,,,https://liquipedia.net/mobilelegends/MSC/2017/Singapore,20240505,229_MLBB Southeast Asia Cup 2017 - Singapore Qualifier.csv
230,Juicy Legends Tournament 2022 Q2,B,20220513.0,20220625,,https://liquipedia.net/mobilelegends/Juicy_Legends_Tournament/2022/Q2,20240505,230_Juicy Legends Tournament 2022 Q2.csv
231,Let's Play Arena Carnival - Invitational Tournament,B,20240126,20240225,,https://liquipedia.net/mobilelegends/Let%27s_Play_Arena_Carnival/Pro_Invitational/2024,20240505,231_Let's Play Arena Carnival - Invitational Tournament.csv
232,MLBB Southeast Asia Cup 2023 - Myanmar Qualifier,B,20230317,20230409,,https://liquipedia.net/mobilelegends/MSC/2023/Myanmar,20240505,232_MLBB Southeast Asia Cup 2023 - Myanmar Qualifier.csv
233,RedONE International Invitational Championship 2024,B,,,1.8.56B,https://liquipedia.net/mobilelegends/RedONE_International_Invitational_Championship/2024,20240505,233_RedONE International Invitational Championship 2024.csv
234,Skyesports/2022/SEA Championship,B,20221212,20221218,,https://liquipedia.net/mobilelegends/Skyesports/2022/SEA_Championship,20240505,234_Skyesports_2022_SEA Championship.csv
235,MSL Championship Season 2,B,20240217,20240218,,https://liquipedia.net/mobilelegends/Moonton_Student_Leader_Championship/Season_2,20240505,235_MSL Championship Season 2.csv
236,Kohai SEA Championship Season 2,B,20231220,20231231,1.8.44,https://liquipedia.net/mobilelegends/Kohai_SEA_Championship/Season_2,20240505,236_Kohai SEA Championship Season 2.csv
237,Saudi eLeague 2024: Major 1,B,20240317,20240420,,https://liquipedia.net/mobilelegends/Saudi_eLeague/2024/Major_1,20240505,237_Saudi eLeague 2024_ Major 1.csv
238,MLBB Southeast Asia Cup 2022 - Myanmar Qualifier,B,20220309,20220320,,https://liquipedia.net/mobilelegends/MSC/2022/Myanmar,20240505,238_MLBB Southeast Asia Cup 2022 - Myanmar Qualifier.csv
239,Mahar Invitational Cup Season 2,B,20231019,20231101,1.8.22,https://liquipedia.net/mobilelegends/Mahar_Invitational_Cup/2023/Season_2,20240505,239_Mahar Invitational Cup Season 2.csv
240,M5 World Championship - Myanmar Qualifier,B,20230824,20231001,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/M5_World_Championship/Myanmar,20240505,240_M5 World Championship - Myanmar Qualifier.csv
241,M3 World Championship - North America Qualifier,B,20210911,20210919,1.6.10,https://liquipedia.net/mobilelegends/M3_World_Championship/North_America,20240505,241_M3 World Championship - North America Qualifier.csv
242,M1 World Championship - Japan Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Japan,20240505,242_M1 World Championship - Japan Qualifier.csv
243,M1 World Championship - Brazil Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Brazil,20240505,243_M1 World Championship - Brazil Qualifier.csv
244,MLBB Southeast Asia Cup 2017 - Thailand Qualifier,B,,,,https://liquipedia.net/mobilelegends/MSC/2017/Thai,20240505,244_MLBB Southeast Asia Cup 2017 - Thailand Qualifier.csv
245,Games of the Future 2024,A,20240226,20240302,,https://liquipedia.net/mobilelegends/Games_of_the_Future/2024,20240505,245_Games of the Future 2024.csv
246,M1 World Championship - North America Qualifier,B,20190928,20190929,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/North_America,20240505,246_M1 World Championship - North America Qualifier.csv
247,CIS Major 2020,B,20200913,20200919,1.5.08,https://liquipedia.net/mobilelegends/CIS_Major/2020,20240505,247_CIS Major 2020.csv
248,MLBB Southeast Asia Cup 2017 - Philippines Qualifier,B,,,,https://liquipedia.net/mobilelegends/MSC/2017/Philippines,20240505,248_MLBB Southeast Asia Cup 2017 - Philippines Qualifier.csv
249,M Challenge Cup Mekong Season 3,B,20240321,20240421,,https://liquipedia.net/mobilelegends/M_Challenge_Cup/Mekong/Season_3,20240505,249_M Challenge Cup Mekong Season 3.csv
250,MLBB Southeast Asia Cup 2017 - Indonesia Qualifier,B,,,,https://liquipedia.net/mobilelegends/MSC/2017/Indonesia,20240505,250_MLBB Southeast Asia Cup 2017 - Indonesia Qualifier.csv
251,M1 World Championship - Russia Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Russia,20240505,251_M1 World Championship - Russia Qualifier.csv
252,M1 World Championship - Thailand & Laos Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Thailand_%26_Laos,20240505,252_M1 World Championship - Thailand & Laos Qualifier.csv
253,MLBB Southeast Asia Cup 2022 - Mekong Qualifier,B,20220419,20220424,,https://liquipedia.net/mobilelegends/MSC/2022/Mekong,20240505,253_MLBB Southeast Asia Cup 2022 - Mekong Qualifier.csv
254,M1 World Championship - Vietnam Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Vietnam,20240505,254_M1 World Championship - Vietnam Qualifier.csv
255,WSL Season 8,B,20240120,20240218,,https://liquipedia.net/mobilelegends/WSL/Season_8,20240505,255_WSL Season 8.csv
256,Malaysia Esports Championship 2023-24,B,20240202,20240203,,https://liquipedia.net/mobilelegends/Malaysia_Esports_Championship/2023-24,20240505,256_Malaysia Esports Championship 2023-24.csv
257,Squad Up: Athena,B,,,,https://liquipedia.net/mobilelegends/Squad_Up_Athena/2022,20240505,257_Squad Up_ Athena.csv
258,RMC Season 6,B,,,,https://liquipedia.net/mobilelegends/RMC/Season_6,20240505,258_RMC Season 6.csv
259,MLBB Southeast Asia Cup 2023 - Mekong Qualifier,B,20230424,20230427,,https://liquipedia.net/mobilelegends/MSC/2023/Mekong,20240505,259_MLBB Southeast Asia Cup 2023 - Mekong Qualifier.csv
260,Arena Esports 2023,B,20240226,20240309,,https://liquipedia.net/mobilelegends/Arena_Esports/2023,20240505,260_Arena Esports 2023.csv
261,M1 World Championship - Cambodia Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Cambodia,20240505,261_M1 World Championship - Cambodia Qualifier.csv
262,Masters Way MLBB,B,20240311,20240317,,https://liquipedia.net/mobilelegends/Masters_Way_MLBB,20240505,262_Masters Way MLBB.csv
263,M4 World Championship - Myanmar Qualifier,B,20220910,20221016,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/M4_World_Championship/Myanmar,20240505,263_M4 World Championship - Myanmar Qualifier.csv
264,M1 World Championship - Turkey Qualifier,B,,,1.4.14,https://liquipedia.net/mobilelegends/M1_World_Championship/Turkey,20240505,264_M1 World Championship - Turkey Qualifier.csv
265,MLBB Southeast Asia Cup 2017 - Malaysia Qualifier,B,,,,https://liquipedia.net/mobilelegends/MSC/2017/Malaysia,20240505,265_MLBB Southeast Asia Cup 2017 - Malaysia Qualifier.csv
266,M4 World Championship - Mekong Qualifier,B,20221012,20221016,1.7.20,https://liquipedia.net/mobilelegends/M4_World_Championship/Mekong,20240505,266_M4 World Championship - Mekong Qualifier.csv
267,RMC Season 7,B,20230529,20230701,,https://liquipedia.net/mobilelegends/RMC/Season_7,20240505,267_RMC Season 7.csv
